IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
23.166.168.99,51056,true,LAX,北美洲,US,美国,洛杉矶,181 ms,0.53
43.154.124.136,26666,true,HKG,亚太,HK,香港,香港,160 ms,0.52
45.59.184.16,38908,true,SJC,北美洲,US,美国,圣何塞,261 ms,0.49
59.120.116.28,34076,true,KHH,亚太,TW,台湾,高雄,177 ms,0.48
173.242.114.185,56010,true,LAX,北美洲,US,美国,洛杉矶,166 ms,0.47
203.76.72.166,15713,true,KIX,亚太,JP,日本,大阪,130 ms,0.47
158.180.88.1,34237,true,ICN,亚太,KR,韩国,首尔,81 ms,0.43
193.123.247.125,34064,true,ICN,亚太,KR,韩国,首尔,140 ms,0.43
210.61.97.241,81,true,KHH,亚太,TW,台湾,高雄,82 ms,0.42
45.136.199.179,28443,true,OTP,欧洲,RO,罗马尼亚,布加勒斯特,221 ms,0.38
199.19.106.202,10086,true,LAX,北美洲,US,美国,洛杉矶,173 ms,0.38
220.84.186.17,30019,true,ICN,亚太,KR,韩国,首尔,168 ms,0.36
58.176.229.127,35002,true,HKG,亚太,HK,香港,香港,124 ms,0.34
38.148.254.240,12325,true,LAX,北美洲,US,美国,洛杉矶,179 ms,0.33
59.120.116.28,34333,true,TPE,亚太,TW,台湾,台北,185 ms,0.32
192.9.133.168,9710,true,SJC,北美洲,US,美国,圣何塞,206 ms,0.31
167.88.182.86,34237,true,KIX,亚太,JP,日本,大阪,121 ms,0.30
45.153.229.108,1984,true,KBP,欧洲,UA,乌克兰,基辅,196 ms,0.29
23.95.17.156,42842,true,SEA,北美洲,US,美国,西雅图,225 ms,0.29
173.242.126.123,60002,true,LAX,北美洲,US,美国,洛杉矶,191 ms,0.28
2.58.56.31,3001,true,FRA,欧洲,DE,德国,法兰克福,221 ms,0.26
59.3.87.55,39109,true,SJC,北美洲,US,美国,圣何塞,320 ms,0.26
168.138.160.54,19081,true,SIN,亚太,SG,新加坡,新加坡,212 ms,0.26
172.247.123.56,34237,true,LAX,北美洲,US,美国,洛杉矶,186 ms,0.26
43.130.134.123,65002,true,ORF,北美洲,US,美国,诺福克,244 ms,0.24
222.119.56.43,15812,true,SJC,北美洲,US,美国,圣何塞,269 ms,0.23
202.81.230.107,54573,true,HKG,亚太,HK,香港,香港,209 ms,0.21
